=========================================================
   INICIANDO SIMULADOR LAB 1 - MQTT (EDGE & TWINS)       
=========================================================

[MQTT] Conectado ao broker tcp://mosquitto:1883 com clientId=Lab1-mqtt
[LAB 1] Inicializando dispositivos...

[LAB 1] Iniciando Roteiro da Simulação...


=================================================
 >> INICIANDO CÁPITULO: NORMAL_USE (Duração: 60s)
=================================================

[SCENARIO] Alterado NORMAL_USE para NORMAL_USE
[MQTT] Publicado messagem {"lab":"LAB1","id":"PC08","cpu":14.0,"ram":24.8,"temperature":39.8,"status":"IDLE","applicationInUse":"intellij-idea","networkUsageInMbps":0.3101882044583786,"securityEventDetected":false,"securityEventDescription":null,"timestamp":1782053415.391173901} em lab/1/pc/PC08/data
[MQTT] Publicado messagem {"lab":"LAB1","id":"PC08","cpu":23.2,"ram":30.1,"temperature":43.1,"status":"ACTIVE","applicationInUse":"vscode","networkUsageInMbps":3.656145735014288,"securityEventDetected":false,"securityEventDescription":null,"timestamp":1782053418.390628719} em lab/1/pc/PC08/data
[MQTT] Publicado messagem {"lab":"LAB1","id":"PC08","cpu":18.3,"ram":26.7,"temperature":45.2,"status":"IDLE","applicationInUse":"files","networkUsageInMbps":0.194385566652397,"securityEventDetected":false,"securityEventDescription":null,"timestamp":1782053421.390686132} em lab/1/pc/PC08/data
[MQTT] Publicado messagem {"lab":"LAB1","id":"PC08","cpu":22.6,"ram":31.2,"temperature":47.2,"status":"ACTIVE","applicationInUse":"libreoffice","networkUsageInMbps":1.4521558687933518,"securityEventDetected":false,"securityEventDescription":null,"timestamp":1782053424.390595900} em lab/1/pc/PC08/data
[MQTT] Publicado messagem {"lab":"LAB1","id":"PC08","cpu":17.0,"ram":29.4,"temperature":48.2,"status":"IDLE","applicationInUse":"vscode","networkUsageInMbps":0.13959992200724422,"securityEventDetected":false,"securityEventDescription":null,"timestamp":1782053427.390609522} em lab/1/pc/PC08/data
[MQTT] Publicado messagem {"lab":"LAB1","id":"PC08","cpu":22.4,"ram":34.2,"temperature":49.2,"status":"ACTIVE","applicationInUse":"browser","networkUsageInMbps":1.8150991599082436,"securityEventDetected":false,"securityEventDescription":null,"timestamp":1782053430.390609455} em lab/1/pc/PC08/data
[MQTT] Publicado messagem {"lab":"LAB1","id":"PC08","cpu":17.8,"ram":30.8,"temperature":49.8,"status":"IDLE","applicationInUse":"vscode","networkUsageInMbps":0.2326740281275316,"securityEventDetected":false,"securityEventDescription":null,"timestamp":1782053433.390613020} em lab/1/pc/PC08/data
[MQTT] Publicado messagem {"lab":"LAB1","id":"PC08","cpu":15.0,"ram":27.1,"temperature":49.9,"status":"IDLE","applicationInUse":"libreoffice","networkUsageInMbps":0.3288320913333316,"securityEventDetected":false,"securityEventDescription":null,"timestamp":1782053436.390659398} em lab/1/pc/PC08/data
[MQTT] Publicado messagem {"lab":"LAB1","id":"PC08","cpu":19.7,"ram":32.8,"temperature":50.3,"status":"ACTIVE","applicationInUse":"browser","networkUsageInMbps":3.0091899316430157,"securityEventDetected":false,"securityEventDescription":null,"timestamp":1782053439.390600804} em lab/1/pc/PC08/data
